"case.name","case.issue","WHRehnquist","JPStevens","SDOConnor","AScalia","AMKennedy","DHSouter","CThomas","RBGinsburg","SGBreyer"
"7155","1996-079","1",1,1,1,1,1,1,1,1,1
"7156","1996-080","3",1,2,1,1,1,2,1,2,2
"7157","1996-081","10",1,2,1,1,1,2,1,2,2
"7158","1996-082","1",1,2,2,1,1,2,1,2,2
"7159","1996-083","4",1,2,1,1,1,2,1,2,2
"7160","1996-084","2",1,2,2,1,1,2,1,2,2
"7161","1996-085","8",1,2,1,1,1,1,1,2,1
"7162","1996-086","3",2,1,1,2,1,2,2,1,1
"7164","1996-088","2",2,2,1,1,1,2,1,2,2
"7166","1996-090","8",1,2,2,1,2,2,1,2,2
"7167","1996-091","5",1,1,1,1,1,1,1,1,1
"7168","1996-092","5",1,1,1,1,1,1,1,1,1
"7169","1996-093","9",1,2,1,1,1,1,1,1,2
"7170","1996-094","3",2,2,2,2,2,2,2,2,2
"7171","1996-095","10",1,2,1,1,1,2,1,2,2
"7172","1996-096","2",2,2,2,2,2,2,2,2,2
"7173","1996-097","1",1,2,1,1,1,1,1,1,2
"7174","1997-001","2",1,2,1,1,1,1,1,1,1
"7175","1997-002","8",2,2,2,2,2,2,2,2,2
"7176","1997-003","1",1,1,1,1,1,1,1,1,1
"7177","1997-004","2",1,1,1,1,1,2,1,1,2
"7178","1997-005","1",1,1,1,1,1,1,1,1,1
"7179","1997-006","2",2,2,2,2,2,2,2,2,2
"7180","1997-007","9",1,2,1,1,1,1,1,1,1
"7181","1997-008","1",2,2,2,2,2,2,2,2,2
"7182","1997-009","1",1,1,1,1,1,1,1,1,1
"7183","1997-010","2",2,2,2,2,2,2,2,2,2
"7184","1997-011","9",2,2,2,2,2,2,2,2,2
"7185","1997-012","9",2,1,2,2,2,2,2,1,2
"7186","1997-013","8",2,2,2,2,2,2,2,2,2
"7187","1997-014","8",2,2,2,2,2,2,2,2,2
"7189","1997-016","9",2,1,1,1,2,2,1,1,1
"7190","1997-017","4",1,1,1,1,1,1,1,1,1
"7191","1997-018","1",1,2,1,1,1,1,1,2,2
"7192","1997-019","8",2,1,1,1,2,1,1,2,1
"7193","1997-020","2",1,1,1,1,1,1,1,1,1
"7194","1997-021","7",1,2,1,1,1,2,1,2,2
"7195","1997-024","1",1,2,1,1,1,1,1,1,2
"7196","1997-025","2",1,2,2,1,2,2,1,2,2
"7197","1997-026","8",1,1,1,1,1,1,1,1,1
"7198","1997-027","2",1,2,1,1,1,1,1,1,1
"7199","1997-028","9",1,1,2,2,1,1,2,1,1
"7200","1997-029","9",1,1,1,1,1,1,1,1,1
"7201","1997-030","8",1,2,2,1,1,2,1,1,2
"7202","1997-031","2",1,1,1,1,1,1,1,1,1
"7203","1997-032","9",1,2,1,1,1,1,1,1,1
"7204","1997-033","9",1,1,1,1,1,1,1,1,1
"7205","1997-034","8",2,2,2,2,2,2,2,2,2
"7206","1997-035","8",2,2,2,2,2,2,2,2,2
"7207","1997-036","1",1,1,1,1,1,1,1,1,1
"7208","1997-037","2",2,2,2,2,2,2,2,2,2
"7209","1997-038","9",1,1,1,1,1,1,1,1,1
"7210","1997-039","8",2,2,2,2,2,2,2,2,2
"7211","1997-040","1",2,2,2,2,1,2,2,2,2
"7212","1997-041","1",1,2,2,1,1,2,1,2,2
"7213","1997-042","2",1,2,1,1,1,1,1,1,1
"7214","1997-043","9",2,2,2,2,2,2,2,2,2
"7215","1997-044","8",1,1,1,1,1,1,1,1,1
"7216","1997-045","1",1,2,1,2,1,2,1,2,1
"7217","1997-046","4",1,1,1,1,1,1,1,1,1
"7218","1997-047","9",1,1,1,1,1,1,1,1,1
"7219","1997-048","1",1,2,1,1,1,1,1,1,1
"7220","1997-049","8",2,2,2,2,2,2,2,2,2
"7221","1997-050","12",1,1,1,1,1,1,1,1,1
"7222","1997-051","1",1,2,1,1,1,1,1,2,2
"7223","1997-052","12",2,2,2,2,2,2,2,2,2
"7224","1997-053","2",2,2,2,1,2,2,1,2,2
"7225","1997-054","8",1,1,1,1,1,1,1,1,1
"7226","1997-055","2",1,1,1,1,1,2,1,2,2
"7227","1997-056","9",2,2,2,2,2,2,2,2,2
"7228","1997-057","1",1,1,1,1,1,1,1,1,1
"7229","1997-058","12",1,1,1,1,1,1,1,1,1
"7230","1997-059","1",1,2,1,1,1,2,1,2,2
"7231","1997-060","2",1,2,1,1,2,2,1,2,2
"7232","1997-061","9",1,1,1,1,1,1,1,1,1
"7233","1997-062","1",2,2,2,1,2,2,1,2,2
"7234","1997-063","1",2,2,2,1,2,2,1,2,2
"7235","1997-064","9",1,1,1,1,1,1,1,1,1
"7236","1997-065","3",1,2,1,1,1,2,1,2,1
"7237","1997-066","2",1,1,1,1,1,1,1,1,1
"7238","1997-067","9",1,1,1,1,1,1,1,1,1
"7239","1997-068","9",1,1,1,1,1,1,1,1,1
"7240","1997-069","2",2,1,2,2,2,2,1,1,2
"7242","1997-071","8",2,2,2,2,2,2,2,2,2
"7243","1997-072","7",1,2,1,1,1,1,1,1,2
"7244","1997-073","9",2,2,2,2,2,2,2,2,2
"7245","1997-074","9",2,2,1,1,2,2,1,2,2
"7246","1997-075","9",1,1,1,1,1,1,1,1,1
"7247","1997-076","8",2,2,2,2,2,2,2,2,2
"7248","1997-077","8",2,2,2,2,2,2,2,2,2
"7249","1997-078","1",1,2,1,1,1,1,1,1,1
"7250","1997-079","2",1,1,1,1,1,1,1,1,1
"7251","1997-080","8",1,1,1,1,1,1,1,1,1
"7252","1997-081","1",2,1,1,2,1,2,1,2,1
"7253","1997-082","1",1,1,1,1,1,1,1,1,1
"7254","1997-083","4",1,2,1,1,1,2,1,2,2
"7255","1997-084","1",2,1,1,2,1,1,1,2,1
"7256","1997-085","2",2,2,2,2,2,2,2,2,2
"7258","1997-087","1",1,2,1,1,2,2,1,2,2
"7259","1997-088","9",2,2,2,2,2,2,2,2,2
"7260","1997-089","2",1,2,1,1,1,2,1,2,2
"7261","1997-090","1",1,1,1,2,1,2,2,1,1
"7262","1997-091","1",1,2,1,1,1,2,2,2,2
"7263","1997-092","1",1,2,1,1,1,2,1,2,2
"7264","1997-093","9",2,2,2,2,2,2,2,2,2
"7265","1997-094","1",2,2,1,1,2,2,1,2,2
"7267","1997-096","4",1,2,1,1,1,2,1,2,2
"7268","1997-097","3",1,1,1,1,1,2,1,1,1
"7269","1997-098","2",1,2,1,1,2,2,1,2,2
"7270","1997-099","1",1,1,1,1,1,1,1,2,2
"7271","1997-100","1",1,2,1,2,1,2,1,2,1
"7272","1997-101","2",2,2,2,1,2,2,1,2,2
"7273","1997-102","2",2,2,2,1,2,2,1,2,2
"7274","1998-001","7",2,2,2,2,2,2,2,2,2
